
Single objective optimization:
1 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.32 A | Time = 1163.0 s | Tmax = 307.75 K | Vmax = 3.424 V | J = 1778.8
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 7.07 A | Time = 1040.0 s | Tmax = 309.11 K | Vmax = 3.432 V | J = 1779.6
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.95 A | Time = 1058.0 s | Tmax = 308.89 K | Vmax = 3.431 V | J = 1776.3
I = 6.70 A | Time = 1098.0 s | Tmax = 308.44 K | Vmax = 3.428 V | J = 1775.0
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.07 A | Time = 1210.0 s | Tmax = 307.30 K | Vmax = 3.422 V | J = 1785.9
I = 6.20 A | Time = 1186.0 s | Tmax = 307.53 K | Vmax = 3.423 V | J = 1781.8
    9              112            1774            1777        1
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 7.07 A | Time = 1040.0 s | Tmax = 309.11 K | Vmax = 3.432 V | J = 1779.6
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.07 A | Time = 1210.0 s | Tmax = 307.30 K | Vmax = 3.422 V | J = 1785.9
I = 5.82 A | Time = 1262.0 s | Tmax = 306.84 K | Vmax = 3.419 V | J = 1798.9
I = 6.45 A | Time = 1140.0 s | Tmax = 307.98 K | Vmax = 3.426 V | J = 1775.9
   10              123            1774            1778        2
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.45 A | Time = 1140.0 s | Tmax = 307.98 K | Vmax = 3.426 V | J = 1775.9
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.45 A | Time = 1140.0 s | Tmax = 307.98 K | Vmax = 3.426 V | J = 1775.9
I = 6.45 A | Time = 1140.0 s | Tmax = 307.98 K | Vmax = 3.426 V | J = 1775.9
   11              134            1774            1775        3
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.45 A | Time = 1140.0 s | Tmax = 307.98 K | Vmax = 3.426 V | J = 1775.9
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.89 A | Time = 1068.0 s | Tmax = 308.77 K | Vmax = 3.430 V | J = 1776.0
I = 6.51 A | Time = 1129.0 s | Tmax = 308.10 K | Vmax = 3.426 V | J = 1775.1
   12              145            1774            1775        4
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.57 A | Time = 1118.0 s | Tmax = 308.21 K | Vmax = 3.427 V | J = 1774.2
I = 6.82 A | Time = 1078.0 s | Tmax = 308.66 K | Vmax = 3.430 V | J = 1775.7
I = 6.48 A | Time = 1135.0 s | Tmax = 308.04 K | Vmax = 3.426 V | J = 1776.2
I = 6.54 A | Time = 1124.0 s | Tmax = 308.15 K | Vmax = 3.427 V | J = 1775.3
   13              156            1774            1775        5
I = 6.54 A | Time = 1124.0 s | Tmax = 308.15 K | Vmax = 3.427 V | J = 1775.3
